LotArea,BedroomAbvGr,OverallQual,YearBuilt,SalePrice
9270,2,4,2021,112021
2860,4,8,2012,178375
7390,2,1,2016,70228
7191,5,9,1953,163220
13964,5,6,2007,165728
13284,1,4,1974,106912
7734,5,9,1996,186902
8265,1,5,1987,93906
2466,4,5,1964,76280
6426,2,5,2012,106547
7578,2,1,1970,38770
13636,1,1,2006,83053
13363,2,8,2002,172700
13111,5,8,1995,169370
10322,3,6,1963,108882
3685,1,4,1966,49780
2769,2,2,1988,54935
12583,1,2,1958,40759
8949,1,9,1955,141203
4433,3,5,1972,107626
7311,5,4,2008,116616
7051,1,10,1995,161591
8420,2,1,1987,37955
3184,4,7,1963,122739
6555,1,3,2021,66274
5385,1,6,2011,105350
14309,3,5,1984,129971
8396,5,5,1968,118145
13096,4,5,1979,135183
10666,2,1,1974,48330
11274,4,1,1989,84789
4558,2,3,1963,59502
9849,5,10,1975,203351
4047,2,4,1971,50903
4747,3,5,1997,99001
11167,3,2,2000,78121
11998,3,8,1952,146616
2189,3,2,1991,52734
4734,4,9,1968,149915
5005,5,2,2022,106512
6658,2,9,1977,167552
3899,2,7,1994,127955
9734,3,8,2020,174619
3267,3,2,2012,73652
3528,1,7,2022,132877
13394,5,6,1968,160684
5556,4,4,1996,107425
5890,2,7,1963,131057
10838,1,4,1987,105712
13080,1,2,2002,66523
7393,2,10,2010,201576
12627,4,7,1985,162650
10792,1,8,1989,138868
12555,1,2,1979,51715
12253,5,5,1958,132731
10433,4,1,2013,79280
12233,1,7,1982,149303
13016,4,8,2001,185217
9513,2,6,1963,118595
4612,3,5,2002,101231
9041,1,6,2008,133988
11555,5,2,1990,113533
8235,2,1,2017,70666
7486,4,7,2017,159675
9099,2,7,1957,131216
11670,1,10,1951,188980
12748,4,10,1990,213259
2775,3,2,2004,50992
14206,2,2,1965,60445
10226,1,1,2011,50032
5152,5,10,1997,193762
12147,4,8,1979,177471
3585,2,8,1961,128362
5943,2,1,1984,30880
9555,3,8,1960,157052
5073,3,9,2013,168033
3021,5,4,1999,105454
13653,5,1,1970,74203
12805,1,1,2018,29966
5843,1,3,1997,64220
9989,5,5,1969,127947
11692,5,5,2016,162652
14990,4,9,1993,186335
8873,3,10,1982,177212
7675,1,2,2022,69819
2161,3,2,2010,40386
6297,3,6,1958,117610
12173,5,9,2017,230157
2995,4,1,1984,59373
13534,2,9,2014,180055
14743,4,9,1957,175475
9629,4,9,1994,170830
13990,3,5,1996,122643
11467,4,9,1989,190874
3016,1,4,2003,47933
9869,3,2,1995,81286
8439,1,6,1996,88424
9892,2,4,1964,82957
8863,3,6,1968,129274
9916,2,3,1975,64571
10529,3,6,2001,163480
2878,5,2,1971,69539
11268,4,2,1970,99015
6887,5,9,2000,192231
14185,2,7,1987,151871
6859,4,3,1969,75654
8331,3,1,1978,36504
10571,4,8,2000,183049
10684,1,6,1953,101798
9208,4,7,2004,178964
7276,1,9,2020,176978
4062,4,5,1977,115148
14076,1,1,1953,25671
2064,2,10,1971,159206
10006,5,7,1994,190648
4568,3,5,2016,114080
7463,4,3,2015,95996
4027,5,9,1983,172159
4695,3,1,2004,62903
11687,3,1,1950,63417
7258,1,1,2021,37267
7618,2,3,1987,57861
8736,2,6,1955,110889
2391,5,10,1974,172878
14706,2,3,1966,82272
14666,4,8,2010,195728
7892,2,10,1961,165797
5561,5,2,1955,61662
12470,2,9,1976,170436
8184,4,3,1957,81696
5099,1,5,2014,74275
8278,5,10,2006,218392
10392,1,8,1989,165861
5104,1,2,1963,13741
9215,1,6,1984,103035
14790,3,5,1997,147162
4454,3,10,2005,187656
13837,1,9,1998,176633
10996,5,5,1962,127220
4731,4,2,2010,84661
12965,4,5,1998,152872
10154,2,4,1995,102280
11762,5,7,2011,188744
7056,3,6,1957,106463
10110,1,2,1992,66002
12882,2,5,1969,97603
5840,4,7,1988,137470
3028,3,7,1998,144444
9385,3,5,2013,131006
2502,1,9,2011,126985
8910,4,4,2003,115290
14685,5,3,1958,120861
11062,3,4,1986,83618
8938,1,5,1998,104664
6488,5,6,1990,138071
2206,4,3,1966,75720
7134,3,2,1970,60648
7977,5,4,2000,108472
9721,5,5,2008,156137
9035,5,4,1988,116570
3484,3,3,2004,67993
9858,3,8,1990,191063
2863,2,10,1988,153578
4790,4,4,1962,59953
9408,1,2,2013,78323
10755,5,2,1960,73090
7116,2,1,1968,18952
14383,1,4,1960,72200
8019,2,10,1995,173705
3757,3,9,1994,153441
9574,5,7,1950,141503
8374,1,10,1989,166840
8892,1,7,1968,109967
3678,1,7,2021,131819
5242,1,8,2021,152075
6636,1,1,2010,33950
3059,2,10,1961,149457
8668,5,10,2010,220343
11914,3,8,1982,150483
13506,3,4,1994,124029
5157,3,4,2018,100161
7915,3,4,1957,75311
12817,2,6,1974,121353
12921,4,7,1995,169346
11789,5,6,1979,164330
13252,1,1,1996,58165
4693,4,8,1998,151438
5627,3,10,1996,181965
11555,4,7,1967,155627
12173,5,6,2015,169592
7450,1,6,2017,128127
3663,1,5,1982,58183
11721,5,6,1985,130801
12230,5,9,1968,192775
7592,3,10,1977,186327
13494,1,9,1989,137027
12429,4,10,1964,203638
9392,2,8,1990,139987
3306,2,10,1988,150177
14221,5,9,1951,192117
8776,3,10,2012,209927
12867,2,8,1978,143658
7864,1,8,2015,143749
11474,5,1,2000,64933
9526,4,10,1959,195981
10901,5,5,1963,133067
7575,4,4,2000,87443
7530,5,2,2022,85071
14936,5,8,1988,215889
6413,5,3,1977,106574
5748,4,4,1952,90102
14971,4,7,2019,197324
2663,5,10,1976,164850
3998,2,9,1951,143538
9994,3,2,1987,69258
13637,3,3,1952,70579
13935,3,4,1965,108410
3495,4,10,1989,171180
5304,4,1,1951,41450
5763,2,7,1990,133256
7232,3,2,1961,50437
